,cluster,nodes_lat,nodes_lon
0,5,0.0,135.0
1,5,0.0,137.5
2,5,0.0,140.0
3,5,0.0,142.5
4,5,0.0,145.0
5,5,0.0,147.5
6,5,0.0,150.0
7,5,0.0,152.5
8,5,0.0,155.0
9,5,0.0,157.5
10,5,0.0,160.0
11,5,0.0,162.5
12,5,0.0,165.0
13,5,0.0,167.5
14,5,0.0,170.0
15,5,0.0,172.5
16,5,0.0,175.0
17,5,0.0,177.5
18,5,0.0,180.0
19,5,0.0,182.5
20,5,0.0,185.0
21,5,0.0,187.5
22,5,0.0,190.0
23,5,0.0,192.5
24,5,0.0,195.0
25,5,0.0,197.5
26,5,0.0,200.0
27,5,0.0,202.5
28,3,0.0,205.0
29,3,0.0,207.5
30,3,0.0,210.0
31,3,0.0,212.5
32,3,0.0,215.0
33,3,0.0,217.5
34,3,0.0,220.0
35,3,0.0,222.5
36,3,0.0,225.0
37,3,0.0,227.5
38,3,0.0,230.0
39,3,0.0,232.5
40,3,0.0,235.0
41,3,0.0,237.5
42,3,0.0,240.0
43,3,0.0,242.5
44,3,0.0,245.0
45,3,0.0,247.5
46,3,0.0,250.0
47,5,0.0,252.5
48,5,0.0,255.0
49,5,0.0,257.5
50,5,0.0,260.0
51,5,0.0,262.5
52,5,0.0,265.0
53,5,0.0,267.5
54,5,0.0,270.0
55,5,0.0,272.5
56,5,0.0,275.0
57,5,0.0,277.5
58,5,0.0,280.0
59,5,0.0,282.5
60,5,0.0,285.0
61,5,0.0,287.5
62,5,0.0,290.0
63,5,-2.5,135.0
64,5,-2.5,137.5
65,5,-2.5,140.0
66,5,-2.5,142.5
67,5,-2.5,145.0
68,5,-2.5,147.5
69,5,-2.5,150.0
70,5,-2.5,152.5
71,5,-2.5,155.0
72,5,-2.5,157.5
73,5,-2.5,160.0
74,5,-2.5,162.5
75,5,-2.5,165.0
76,5,-2.5,167.5
77,5,-2.5,170.0
78,5,-2.5,172.5
79,5,-2.5,175.0
80,5,-2.5,177.5
81,5,-2.5,180.0
82,5,-2.5,182.5
83,5,-2.5,185.0
84,5,-2.5,187.5
85,5,-2.5,190.0
86,5,-2.5,192.5
87,5,-2.5,195.0
88,5,-2.5,197.5
89,5,-2.5,200.0
90,5,-2.5,202.5
91,3,-2.5,205.0
92,3,-2.5,207.5
93,3,-2.5,210.0
94,3,-2.5,212.5
95,3,-2.5,215.0
96,3,-2.5,217.5
97,3,-2.5,220.0
98,3,-2.5,222.5
99,3,-2.5,225.0
100,3,-2.5,227.5
101,3,-2.5,230.0
102,3,-2.5,232.5
103,3,-2.5,235.0
104,3,-2.5,237.5
105,3,-2.5,240.0
106,3,-2.5,242.5
107,3,-2.5,245.0
108,3,-2.5,247.5
109,3,-2.5,250.0
110,3,-2.5,252.5
111,3,-2.5,255.0
112,3,-2.5,257.5
113,3,-2.5,260.0
114,3,-2.5,262.5
115,5,-2.5,265.0
116,5,-2.5,267.5
117,5,-2.5,270.0
118,5,-2.5,272.5
119,5,-2.5,275.0
120,5,-2.5,277.5
121,5,-2.5,280.0
122,5,-2.5,282.5
123,5,-2.5,285.0
124,5,-2.5,287.5
125,5,-2.5,290.0
126,5,-5.0,135.0
127,5,-5.0,137.5
128,5,-5.0,140.0
129,5,-5.0,142.5
130,5,-5.0,145.0
131,5,-5.0,147.5
132,5,-5.0,150.0
133,5,-5.0,152.5
134,5,-5.0,155.0
135,5,-5.0,157.5
136,5,-5.0,160.0
137,5,-5.0,162.5
138,5,-5.0,165.0
139,5,-5.0,167.5
140,5,-5.0,170.0
141,5,-5.0,172.5
142,5,-5.0,175.0
143,5,-5.0,177.5
144,5,-5.0,180.0
145,5,-5.0,182.5
146,5,-5.0,185.0
147,5,-5.0,187.5
148,5,-5.0,190.0
149,5,-5.0,192.5
150,5,-5.0,195.0
151,5,-5.0,197.5
152,5,-5.0,200.0
153,3,-5.0,202.5
154,3,-5.0,205.0
155,3,-5.0,207.5
156,3,-5.0,210.0
157,3,-5.0,212.5
158,3,-5.0,215.0
159,3,-5.0,217.5
160,3,-5.0,220.0
161,3,-5.0,222.5
162,3,-5.0,225.0
163,3,-5.0,227.5
164,3,-5.0,230.0
165,3,-5.0,232.5
166,3,-5.0,235.0
167,3,-5.0,237.5
168,3,-5.0,240.0
169,3,-5.0,242.5
170,3,-5.0,245.0
171,3,-5.0,247.5
172,3,-5.0,250.0
173,3,-5.0,252.5
174,3,-5.0,255.0
175,3,-5.0,257.5
176,3,-5.0,260.0
177,3,-5.0,262.5
178,3,-5.0,265.0
179,3,-5.0,267.5
180,3,-5.0,270.0
181,5,-5.0,272.5
182,5,-5.0,275.0
183,5,-5.0,277.5
184,5,-5.0,280.0
185,5,-5.0,282.5
186,5,-5.0,285.0
187,5,-5.0,287.5
188,5,-5.0,290.0
189,5,-7.5,135.0
190,5,-7.5,137.5
191,5,-7.5,140.0
192,5,-7.5,142.5
193,5,-7.5,145.0
194,5,-7.5,147.5
195,5,-7.5,150.0
196,5,-7.5,152.5
197,5,-7.5,155.0
198,5,-7.5,157.5
199,5,-7.5,160.0
200,5,-7.5,162.5
201,5,-7.5,165.0
202,5,-7.5,167.5
203,5,-7.5,170.0
204,5,-7.5,172.5
205,5,-7.5,175.0
206,5,-7.5,177.5
207,5,-7.5,180.0
208,5,-7.5,182.5
209,5,-7.5,185.0
210,5,-7.5,187.5
211,3,-7.5,190.0
212,3,-7.5,192.5
213,3,-7.5,195.0
214,3,-7.5,197.5
215,3,-7.5,200.0
216,3,-7.5,202.5
217,3,-7.5,205.0
218,3,-7.5,207.5
219,3,-7.5,210.0
220,3,-7.5,212.5
221,3,-7.5,215.0
222,3,-7.5,217.5
223,3,-7.5,220.0
224,3,-7.5,222.5
225,3,-7.5,225.0
226,3,-7.5,227.5
227,3,-7.5,230.0
228,3,-7.5,232.5
229,3,-7.5,235.0
230,3,-7.5,237.5
231,3,-7.5,240.0
